UserID,Age,AgeGroup,Gender,GenderEncoded
U00001,15,15-20,Male,0
U00002,29,21-30,Female,1
U00003,33,31-40,Female,1
U00004,23,21-30,Female,1
U00005,21,21-30,Male,0
U00006,21,21-30,Male,0
U00007,24,21-30,Male,0
U00008,33,31-40,Female,1
U00009,20,15-20,Female,1
U00010,34,31-40,Female,1
U00011,15,15-20,Female,1
U00012,15,15-20,Female,1
U00013,33,31-40,Female,1
U00014,30,21-30,Male,0
U00015,27,21-30,Female,1
U00016,32,31-40,Male,0
U00017,24,21-30,Male,0
U00018,24,21-30,Female,1
U00019,24,21-30,Female,1
U00020,27,21-30,Female,1
U00021,15,15-20,Male,0
U00022,31,31-40,Male,0
U00023,32,31-40,Male,0
U00024,18,15-20,Female,1
U00025,34,31-40,Male,0
U00026,19,15-20,Male,0
U00027,31,31-40,Male,0
U00028,30,21-30,Female,1
U00029,30,21-30,Male,0
U00030,34,31-40,Male,0
U00031,30,21-30,Male,0
U00032,18,15-20,Male,0
U00033,25,21-30,Male,0
U00034,32,31-40,Female,1
U00035,32,31-40,Male,0
U00036,24,21-30,Female,1
U00037,31,31-40,Female,1
U00038,35,31-40,Male,0
U00039,16,15-20,Female,1
U00040,15,15-20,Male,0
U00041,19,15-20,Female,1
U00042,32,31-40,Male,0
U00043,31,31-40,Male,0
U00044,19,15-20,Male,0
U00045,23,21-30,Female,1
U00046,29,21-30,Female,1
U00047,34,31-40,Male,0
U00048,19,15-20,Male,0
U00049,32,31-40,Male,0
U00050,33,31-40,Male,0
U00051,32,31-40,Female,1
U00052,25,21-30,Female,1
U00053,34,31-40,Female,1
U00054,22,21-30,Female,1
U00055,31,31-40,Female,1
U00056,22,21-30,Female,1
U00057,18,15-20,Male,0
U00058,30,21-30,Female,1
U00059,32,31-40,Male,0
U00060,26,21-30,Male,0
U00061,32,31-40,Female,1
U00062,28,21-30,Female,1
U00063,34,31-40,Female,1
U00064,33,31-40,Female,1
U00065,29,21-30,Male,0
U00066,26,21-30,Female,1
U00067,28,21-30,Female,1
U00068,32,31-40,Male,0
U00069,27,21-30,Female,1
U00070,25,21-30,Female,1
U00071,30,21-30,Female,1
U00072,17,15-20,Female,1
U00073,16,15-20,Male,0
U00074,19,15-20,Male,0
U00075,22,21-30,Male,0
U00076,34,31-40,Male,0
U00077,20,15-20,Male,0
U00078,32,31-40,Female,1
U00079,28,21-30,Male,0
U00080,35,31-40,Female,1
U00081,18,15-20,Female,1
U00082,31,31-40,Male,0
U00083,16,15-20,Male,0
U00084,20,15-20,Male,0
U00085,22,21-30,Female,1
