UserID,Age,AgeGroup,Gender,GenderEncoded,AgeGroupEncoded,Cluster,Segment
U00001,15,15-20,Male,0,0,1,Young Male Learners
U00002,29,21-30,Female,1,1,0,Young Female Learners
U00003,33,31-40,Female,1,2,3,Adult Male Learners
U00004,23,21-30,Female,1,1,0,Young Female Learners
U00005,21,21-30,Male,0,1,2,Adult Female Learners
U00006,21,21-30,Male,0,1,2,Adult Female Learners
U00007,24,21-30,Male,0,1,2,Adult Female Learners
U00008,33,31-40,Female,1,2,3,Adult Male Learners
U00009,20,15-20,Female,1,0,1,Young Male Learners
U00010,34,31-40,Female,1,2,3,Adult Male Learners
U00011,15,15-20,Female,1,0,1,Young Male Learners
U00012,15,15-20,Female,1,0,1,Young Male Learners
U00013,33,31-40,Female,1,2,3,Adult Male Learners
U00014,30,21-30,Male,0,1,2,Adult Female Learners
U00015,27,21-30,Female,1,1,0,Young Female Learners
U00016,32,31-40,Male,0,2,3,Adult Male Learners
U00017,24,21-30,Male,0,1,2,Adult Female Learners
U00018,24,21-30,Female,1,1,0,Young Female Learners
U00019,24,21-30,Female,1,1,0,Young Female Learners
U00020,27,21-30,Female,1,1,0,Young Female Learners
U00021,15,15-20,Male,0,0,1,Young Male Learners
U00022,31,31-40,Male,0,2,3,Adult Male Learners
U00023,32,31-40,Male,0,2,3,Adult Male Learners
U00024,18,15-20,Female,1,0,1,Young Male Learners
U00025,34,31-40,Male,0,2,3,Adult Male Learners
U00026,19,15-20,Male,0,0,1,Young Male Learners
U00027,31,31-40,Male,0,2,3,Adult Male Learners
U00028,30,21-30,Female,1,1,0,Young Female Learners
U00029,30,21-30,Male,0,1,2,Adult Female Learners
U00030,34,31-40,Male,0,2,3,Adult Male Learners
U00031,30,21-30,Male,0,1,2,Adult Female Learners
U00032,18,15-20,Male,0,0,1,Young Male Learners
U00033,25,21-30,Male,0,1,2,Adult Female Learners
U00034,32,31-40,Female,1,2,3,Adult Male Learners
U00035,32,31-40,Male,0,2,3,Adult Male Learners
U00036,24,21-30,Female,1,1,0,Young Female Learners
U00037,31,31-40,Female,1,2,3,Adult Male Learners
U00038,35,31-40,Male,0,2,3,Adult Male Learners
U00039,16,15-20,Female,1,0,1,Young Male Learners
U00040,15,15-20,Male,0,0,1,Young Male Learners
U00041,19,15-20,Female,1,0,1,Young Male Learners
U00042,32,31-40,Male,0,2,3,Adult Male Learners
U00043,31,31-40,Male,0,2,3,Adult Male Learners
U00044,19,15-20,Male,0,0,1,Young Male Learners
U00045,23,21-30,Female,1,1,0,Young Female Learners
U00046,29,21-30,Female,1,1,0,Young Female Learners
U00047,34,31-40,Male,0,2,3,Adult Male Learners
U00048,19,15-20,Male,0,0,1,Young Male Learners
U00049,32,31-40,Male,0,2,3,Adult Male Learners
U00050,33,31-40,Male,0,2,3,Adult Male Learners
U00051,32,31-40,Female,1,2,3,Adult Male Learners
U00052,25,21-30,Female,1,1,0,Young Female Learners
U00053,34,31-40,Female,1,2,3,Adult Male Learners
U00054,22,21-30,Female,1,1,0,Young Female Learners
U00055,31,31-40,Female,1,2,3,Adult Male Learners
U00056,22,21-30,Female,1,1,0,Young Female Learners
U00057,18,15-20,Male,0,0,1,Young Male Learners
U00058,30,21-30,Female,1,1,0,Young Female Learners
U00059,32,31-40,Male,0,2,3,Adult Male Learners
U00060,26,21-30,Male,0,1,2,Adult Female Learners
